epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,354.899,1.24628,1.08027,1.37634,0.47696,0.46768,0.4395,0.18183,2.04609,1.49548,2.02481,0.000615781,0.000615781,0.000615781
43,363.227,1.25716,1.11256,1.38216,0.47803,0.46954,0.42547,0.16952,2.05334,1.45772,2.03861,0.000600313,0.000600313,0.000600313
44,371.201,1.25076,1.06482,1.37369,0.4501,0.45125,0.40596,0.15846,2.10152,1.51638,2.11677,0.000584844,0.000584844,0.000584844
45,379.983,1.22608,1.05814,1.3644,0.48544,0.51069,0.4271,0.16592,2.04574,1.4876,2.02529,0.000569375,0.000569375,0.000569375
46,389.35,1.23141,1.01354,1.35472,0.41034,0.54957,0.4193,0.17607,1.98377,1.48441,1.94284,0.000553906,0.000553906,0.000553906
47,396.413,1.21256,1.03686,1.35596,0.43491,0.48417,0.41855,0.17419,2.03001,1.50602,1.9679,0.000538438,0.000538438,0.000538438
48,405.443,1.17936,1.00923,1.31384,0.45376,0.58449,0.44278,0.17871,2.03227,1.46848,2.06748,0.000522969,0.000522969,0.000522969
49,412.536,1.18801,1.01339,1.32966,0.53273,0.51205,0.472,0.18717,2.0691,1.50221,2.04151,0.0005075,0.0005075,0.0005075
50,422.097,1.19164,1.02184,1.33736,0.54255,0.47522,0.4501,0.17565,2.07313,1.51659,2.12127,0.000492031,0.000492031,0.000492031
51,430.24,1.18098,1.00731,1.33179,0.53398,0.4745,0.42523,0.16344,2.10968,1.57839,2.23003,0.000476562,0.000476562,0.000476562
52,438.01,1.16573,1.0002,1.31806,0.44932,0.48904,0.45888,0.18057,2.05232,1.45395,2.12755,0.000461094,0.000461094,0.000461094
53,448.399,1.13825,0.96145,1.30375,0.5572,0.4636,0.45878,0.18117,2.07354,1.49332,2.09404,0.000445625,0.000445625,0.000445625
54,455.702,1.16713,0.96642,1.3138,0.4451,0.522,0.4393,0.17779,2.06298,1.47257,2.07255,0.000430156,0.000430156,0.000430156
55,464.371,1.11923,0.93483,1.28331,0.45768,0.46315,0.43769,0.17988,2.06507,1.41861,2.08043,0.000414688,0.000414688,0.000414688
56,472.882,1.11393,0.94458,1.27921,0.49069,0.47141,0.42529,0.17542,2.05867,1.44317,2.11416,0.000399219,0.000399219,0.000399219
57,481.391,1.11808,0.91386,1.28727,0.48668,0.46373,0.43103,0.17191,2.06427,1.46168,2.09962,0.00038375,0.00038375,0.00038375
58,488.71,1.08467,0.91339,1.27466,0.54134,0.46748,0.44658,0.17586,2.11417,1.47353,2.17226,0.000368281,0.000368281,0.000368281
59,497.069,1.10435,0.91473,1.27336,0.50403,0.47145,0.45884,0.1836,2.05256,1.48592,2.1312,0.000352812,0.000352812,0.000352812
60,506.821,1.08692,0.91235,1.26416,0.49266,0.43831,0.43161,0.1687,2.10376,1.6084,2.13678,0.000337344,0.000337344,0.000337344
61,514.045,1.08812,0.92845,1.27759,0.62449,0.38634,0.44743,0.17693,2.10413,1.54672,2.1402,0.000321875,0.000321875,0.000321875
62,523.733,1.08263,0.91974,1.25564,0.46555,0.52662,0.4664,0.18853,2.04169,1.40818,2.14649,0.000306406,0.000306406,0.000306406
63,531.49,1.03013,0.85515,1.22486,0.44462,0.54563,0.461,0.19191,2.0402,1.48234,2.11171,0.000290937,0.000290937,0.000290937
64,539.322,1.03552,0.84672,1.224,0.48027,0.51606,0.44823,0.18832,2.07056,1.50372,2.10759,0.000275469,0.000275469,0.000275469
65,547.984,1.02593,0.82738,1.21245,0.45719,0.53488,0.44029,0.18348,2.08416,1.4462,2.14501,0.00026,0.00026,0.00026
66,555.312,1.01323,0.83456,1.21506,0.47785,0.50729,0.44364,0.18436,2.05249,1.43943,2.10996,0.000244531,0.000244531,0.000244531
67,564.813,1.02357,0.83861,1.21475,0.52119,0.44131,0.44157,0.18359,2.07995,1.47621,2.13001,0.000229063,0.000229063,0.000229063
68,571.908,1.027,0.83299,1.22195,0.55516,0.44866,0.46228,0.19331,2.02021,1.42738,2.10244,0.000213594,0.000213594,0.000213594
69,581.456,1.01755,0.84232,1.22339,0.51753,0.5419,0.4652,0.19662,2.03701,1.38289,2.12438,0.000198125,0.000198125,0.000198125
